,sia_e,sia_n,ssa_e,ssa_n,ppq,phi_min,phi_max,topg_min,topg_max
CTRL,0.2,3.0,1.0,3.25,0.5,100,10,40,1000,1500
CTRL,0.2,3.0,1.0,3.25,0.5,100,10,40,1000,1500
