``git``, used to download PISM's source code
``cmake``, used to configure PISM
``cmake-curses-gui``, optional; a text-based interface for CMake
``g++``, used to build PISM
``netcdf-bin``, ``ncgen`` is used during the build process
``swig``, optional; used to build PISM's Python bindings
``petsc-dev``, required by PISM
``libgsl-dev``, required by PISM
``libnetcdf-dev``, required by PISM
``libfftw3-dev``, required by PISM
``libudunits2-dev``, required by PISM
``libproj-dev``, optional; used to compute longitude and latitude coordinates of grid points
``libpnetcdf-dev``, optional; used for parallel I/O
``python-petsc4py``, optional; used by PISM's Python bindings
``python-netcdf4``, optional; used in most post-processing scripts
``python-numpy``, optional; used in some pre- and post-processing scripts
``python-scipy``, optional; used in some pre- and post-processing scripts
``python-nose``, optional; used by PISM's regression tests
``nco``, optional; used in many pre-processing scripts
``cdo``, optional; used in some pre-processing scripts
``ncview``, optional; a nice tool for examining NetCDF datasets
``python-pyproj``, optional; used in some pre-processing scripts
``libx11-dev``, optional; used by PISM's run-time viewers
